iter	Passed	Remaining
574	1621	1198
575	1624	1195
576	1627	1193
577	1630	1190
578	1632	1187
579	1636	1185
580	1640	1183
581	1644	1180
582	1650	1180
583	1654	1178
584	1659	1177
585	1663	1175
586	1667	1173
587	1671	1171
588	1674	1168
589	1679	1166
590	1682	1164
591	1687	1162
592	1690	1160
593	1694	1158
594	1700	1157
595	1705	1155
596	1710	1154
597	1718	1154
598	1724	1154
599	1730	1153
600	1733	1151
601	1737	1149
602	1744	1148
603	1749	1147
604	1756	1146
605	1762	1145
606	1768	1145
607	1775	1144
608	1781	1143
609	1788	1143
610	1794	1142
611	1801	1142
612	1808	1141
613	1813	1139
614	1821	1140
615	1825	1137
616	1828	1134
617	1830	1131
618	1833	1128
619	1836	1125
620	1839	1122
621	1841	1119
622	1844	1116
623	1847	1112
624	1849	1109
625	1852	1106
626	1855	1103
627	1857	1100
628	1860	1097
629	1863	1094
630	1866	1091
631	1868	1088
632	1871	1085
633	1874	1081
634	1876	1078
635	1879	1075
636	1882	1072
637	1884	1069
638	1887	1066
639	1890	1063
640	1892	1060
641	1895	1057
642	1898	1053
643	1901	1050
644	1903	1047
645	1906	1044
646	1909	1041
647	1911	1038
648	1914	1035
649	1917	1032
650	1919	1029
651	1922	1026
652	1925	1023
653	1928	1020
654	1931	1017
655	1933	1014
656	1936	1010
657	1939	1007
658	1941	1004
659	1944	1001
660	1947	998
661	1949	995
662	1952	992
663	1955	989
664	1957	986
665	1960	983
666	1963	980
667	1965	977
668	1968	973
669	1971	970
670	1973	967
671	1976	964
672	1979	961
673	1981	958
674	1984	955
675	1987	952
676	1990	949
677	1992	946
678	1995	943
679	1998	940
680	2000	937
681	2003	934
682	2006	931
683	2009	928
684	2011	925
685	2014	922
686	2017	919
687	2020	916
688	2022	912
689	2025	909
690	2028	906
691	2030	903
692	2033	900
693	2036	897
694	2038	894
695	2041	891
696	2044	888
697	2046	885
698	2049	882
699	2052	879
700	2055	876
701	2057	873
702	2060	870
703	2063	867
704	2065	864
705	2068	861
706	2071	858
707	2073	855
708	2076	852
709	2079	849
710	2081	846
711	2084	843
712	2087	840
713	2089	837
714	2092	834
715	2095	830
716	2097	827
717	2100	824
718	2103	822
719	2105	818
720	2108	815
721	2111	812
722	2113	809
723	2116	806
724	2119	803
725	2121	800
726	2124	797
727	2127	794
728	2130	791
729	2132	788
730	2135	785
731	2138	782
732	2140	779
733	2143	776
734	2146	773
735	2148	770
736	2151	767
737	2154	764
738	2156	761
739	2159	758
740	2162	755
741	2164	752
742	2167	749
743	2170	746
744	2172	743
745	2175	740
746	2178	737
747	2180	734
748	2183	731
749	2186	728
750	2189	725
751	2191	722
752	2194	719
753	2196	716
754	2199	713
755	2202	710
756	2205	707
757	2207	704
758	2210	701
759	2213	698
760	2215	695
761	2218	692
762	2221	689
763	2223	686
764	2226	683
765	2229	680
766	2231	677
767	2234	674
768	2237	672
769	2239	669
770	2242	666
771	2245	663
772	2248	660
773	2250	657
774	2253	654
775	2256	651
776	2258	648
